,R02_perc_prob,R05_worry,R1a_self_efficacy_SM1,R1b_resp_efficacy_SM1,R1c_perc_cost_SM1,Q18_flood_exp,R2_implementation_SM1,Q0_age,Q0_education_UK,Q53_income_UK,Q58_savings,R03_perc_damage
119,6,2,1,2,5,0,4,51,16,2,3,1.0
122,1,1,1,1,5,0,4,64,3,2,7,1.0
123,2,1,1,3,5,1,4,76,18,2,7,2.0
124,1,1,1,1,5,0,4,30,15,5,7,2.0
125,1,1,1,3,5,0,4,71,1,2,1,1.0
126,1,1,1,5,5,0,4,85,3,5,7,1.0
127,1,1,1,4,5,0,4,70,16,4,7,1.0
129,2,2,3,2,3,0,4,72,16,3,2,1.0
131,1,1,3,4,5,0,4,67,16,4,7,1.0
132,1,1,1,1,5,0,4,67,11,1,1,3.0
135,1,1,1,1,5,0,4,80,18,4,7,1.0
139,3,2,1,4,5,0,4,77,18,5,7,2.0
140,6,1,1,1,5,1,4,89,16,2,7,1.0
141,2,1,3,3,5,0,4,44,16,5,7,2.0
142,1,2,4,4,4,0,2,27,16,2,2,4.0
144,1,1,1,4,5,0,4,46,18,5,7,3.0
146,1,2,3,1,2,0,4,33,18,4,1,1.0
147,2,2,1,3,5,0,4,48,16,5,7,4.0
151,5,2,1,3,5,0,4,44,16,5,1,3.0
158,1,2,5,4,5,1,1,42,17,5,5,3.0
160,2,1,4,3,1,0,4,73,18,5,7,1.0
163,1,1,1,5,5,0,4,77,16,1,3,1.0
166,3,2,1,5,3,0,3,23,16,5,7,1.0
167,3,1,1,1,5,0,4,61,17,5,7,2.0
169,7,2,1,1,5,1,4,37,18,4,1,3.0
171,2,1,1,5,5,0,4,51,9,4,7,4.0
172,2,1,1,4,5,1,4,42,9,4,1,1.0
173,7,2,1,2,5,0,4,56,16,5,6,1.0
176,1,1,1,4,5,0,4,55,16,5,1,2.0
177,1,1,1,1,5,0,4,73,9,5,7,1.0
178,1,1,1,4,5,0,4,32,16,5,4,1.0
180,1,1,1,1,4,0,4,57,16,5,7,1.0
181,1,1,1,3,5,0,4,52,9,4,2,1.0
183,1,2,3,3,4,1,3,18,15,3,5,4.0
185,1,1,4,5,4,0,2,31,16,3,2,1.0
187,6,2,1,3,5,1,4,58,18,5,7,4.0
188,1,1,1,3,3,0,4,61,16,5,7,1.0
191,2,1,1,3,5,0,4,29,17,5,7,2.0
192,4,3,3,3,3,1,3,46,17,4,4,3.0
195,1,1,1,4,5,0,4,44,13,5,3,4.0
196,1,1,1,5,5,1,4,46,3,5,7,1.0
199,2,2,3,2,3,0,4,54,16,3,5,1.0
200,1,1,1,1,5,1,4,67,16,5,7,1.0
201,2,1,2,2,5,0,4,63,11,4,7,3.0
203,1,2,2,5,5,0,4,57,16,5,7,1.0
204,2,1,1,1,5,0,4,39,17,4,7,1.0
205,4,2,1,3,5,0,4,71,17,4,5,4.0
207,2,2,2,5,5,1,4,71,17,5,5,2.0
210,1,1,1,1,1,0,1,63,3,1,1,3.0
211,1,1,4,4,4,0,4,29,17,5,7,1.0
213,1,1,1,1,5,0,4,47,16,4,7,4.0
216,1,1,1,1,5,0,4,28,11,3,7,2.0
218,1,1,1,5,5,0,4,53,15,3,7,5.0
219,2,2,1,5,5,1,4,36,15,1,1,1.0
221,1,1,5,4,1,0,4,59,1,3,4,1.0
222,2,1,1,3,5,0,4,69,16,5,7,5.0
223,7,3,1,4,5,0,4,50,17,5,1,4.0
224,2,5,2,3,2,1,3,43,15,2,7,4.0
226,1,1,1,1,5,0,4,64,17,5,7,1.0
229,1,1,1,3,4,0,4,33,17,5,4,2.0
232,2,1,1,5,5,0,4,24,16,5,7,2.0
233,6,2,1,2,5,0,4,54,17,5,7,2.0
237,2,2,1,5,5,1,4,36,5,2,1,1.0
238,1,1,1,1,5,0,4,50,9,1,1,1.0
242,1,1,5,1,5,0,4,56,1,1,7,1.0
243,1,1,2,3,5,0,4,67,7,5,7,1.0
244,1,1,1,3,3,0,4,50,9,1,1,1.0
245,1,1,1,3,5,0,4,37,17,5,7,2.0
246,2,1,1,1,5,0,4,52,16,5,6,1.0
247,5,1,1,2,5,0,4,69,18,4,7,5.0
252,6,1,1,4,5,1,4,50,16,3,1,1.0
253,2,1,1,3,3,0,4,39,17,5,7,2.0
255,1,1,2,1,5,0,4,48,18,5,7,4.0
256,4,1,1,1,2,0,4,70,17,5,6,1.0
263,1,1,1,3,5,0,4,65,17,5,7,1.0
265,1,1,1,3,5,0,4,49,16,3,7,1.0
266,2,2,1,2,5,0,4,55,16,4,3,2.0
267,1,1,1,1,4,0,4,38,16,5,3,2.0
268,1,3,1,4,5,0,4,24,17,5,7,4.0
270,4,2,1,2,5,0,4,33,16,5,5,3.0
271,1,1,1,1,5,0,4,59,18,1,7,1.0
272,5,2,1,3,5,0,4,50,16,5,7,2.0
274,1,1,1,1,5,0,4,80,17,2,7,4.0
275,2,1,1,1,5,0,4,30,17,5,7,1.0
278,6,2,2,3,5,0,4,46,17,5,7,5.0
279,4,1,1,2,5,0,4,35,16,5,7,4.0
286,1,1,2,3,5,0,4,19,11,5,7,1.0
290,1,1,1,3,5,0,4,64,16,1,2,1.0
291,1,1,1,1,5,0,4,71,16,3,7,1.0
292,1,3,3,3,5,0,2,30,17,5,2,3.0
293,1,1,3,3,4,0,4,80,9,3,7,1.0
294,7,1,2,4,3,0,3,36,16,5,1,2.0
295,1,2,2,2,5,0,4,30,16,2,3,3.0
296,2,1,1,1,5,0,4,31,16,5,6,5.0
297,7,3,2,3,3,0,2,33,16,1,1,3.0
299,1,1,5,5,5,0,4,71,18,4,6,2.0
301,6,2,1,2,3,0,4,38,17,5,7,4.0
302,1,1,1,3,5,0,4,75,17,3,4,1.0
303,2,1,1,5,1,1,4,52,16,5,7,1.0
304,1,1,1,4,5,0,4,65,17,5,7,1.0
306,1,1,1,3,5,0,4,67,16,5,7,1.0
309,7,2,1,1,5,1,4,62,15,1,7,3.0
312,2,1,1,5,5,0,4,25,17,5,7,2.0
316,2,2,1,3,5,0,4,24,16,1,1,3.0
319,7,3,4,4,5,1,2,32,16,4,5,4.0
320,1,5,1,3,5,0,4,55,16,1,2,5.0
322,1,1,1,1,5,0,4,76,11,2,5,1.0
323,2,1,3,3,3,0,2,27,17,2,3,4.0
324,5,3,1,3,5,0,4,68,16,3,1,3.0
325,6,2,1,1,5,0,4,72,16,5,6,3.0
326,1,1,1,5,5,0,4,42,9,4,1,2.0
327,2,2,1,3,5,0,4,35,16,3,1,2.0
330,1,1,3,3,4,0,4,31,16,5,6,1.0
332,1,2,1,3,5,0,4,42,9,4,1,2.0
340,2,3,3,2,3,0,2,42,16,5,4,3.0
341,1,1,2,3,5,0,4,37,9,5,3,2.0
343,2,1,1,5,5,0,4,62,18,5,2,1.0
344,6,2,1,2,5,0,4,39,16,1,1,3.0
346,2,2,1,1,5,0,4,28,16,3,6,1.0
348,1,1,1,5,5,0,4,78,18,4,2,1.0
349,2,1,3,5,2,0,1,37,11,2,1,1.0
350,2,4,1,4,5,0,4,57,1,1,1,2.0
356,2,1,1,5,5,0,4,71,1,4,7,1.0
357,1,1,5,5,5,0,1,34,17,3,2,4.0
358,2,1,1,3,5,0,4,42,11,3,1,1.0
360,1,1,3,3,5,0,4,54,5,3,2,1.0
361,1,1,1,1,5,0,4,58,9,1,1,1.0
362,2,1,1,4,5,0,4,69,13,3,6,2.0
363,2,1,1,3,5,0,4,58,18,4,1,2.0
366,4,1,1,1,5,0,4,66,9,1,7,1.0
368,1,1,1,4,5,0,4,72,17,1,1,2.0
370,1,1,2,1,4,0,4,52,2,4,1,2.0
371,6,2,1,1,5,1,4,57,6,4,6,3.0
372,1,1,1,3,5,0,4,73,4,2,5,3.0
374,2,1,1,4,5,0,4,28,17,5,6,3.0
376,1,1,1,1,4,1,4,51,18,2,1,1.0
379,5,1,1,1,5,0,4,61,14,5,7,4.0
381,2,2,3,3,5,1,1,76,16,2,7,3.0
386,2,2,1,2,4,1,4,32,16,5,5,3.0
387,4,2,1,3,5,0,4,57,18,5,6,5.0
389,1,1,1,3,4,0,4,58,16,2,5,2.0
391,3,4,3,4,2,1,3,42,15,2,1,4.0
392,4,1,4,4,5,0,4,34,18,5,6,2.0
393,1,1,1,5,5,0,4,79,5,1,1,3.0
395,5,2,1,1,5,0,4,65,11,5,7,2.0
399,1,2,1,1,5,0,4,28,18,5,7,2.0
401,5,5,5,5,5,0,2,50,11,1,1,3.0
402,1,1,3,5,2,0,4,50,11,1,3,1.0
404,6,2,1,2,5,0,4,66,18,4,1,4.0
405,1,1,1,4,5,0,4,57,18,3,7,1.0
406,1,1,1,1,4,0,4,69,16,5,7,4.0
408,2,1,1,3,4,0,4,20,11,2,1,1.0
411,7,2,1,3,5,1,4,60,11,1,1,1.0
412,1,1,1,1,5,0,4,42,16,5,1,2.0
413,3,1,1,3,5,0,4,56,16,3,1,1.0
414,1,2,3,5,4,0,4,53,12,2,2,4.0
416,6,4,1,5,5,0,4,48,18,1,1,3.0
417,2,2,1,4,5,0,4,49,11,4,5,2.0
420,1,1,1,3,5,0,4,42,16,4,7,1.0
421,1,1,1,1,5,0,4,58,11,2,1,1.0
422,1,1,1,2,5,0,4,49,18,3,7,3.0
424,3,2,1,3,5,0,4,25,17,3,7,3.0
430,1,1,1,3,5,0,4,44,11,3,1,1.0
434,1,1,1,3,3,0,4,25,11,1,2,1.0
436,7,3,1,4,5,0,4,54,9,4,4,3.0
440,1,1,3,3,4,0,4,69,14,2,3,3.0
441,2,3,1,3,4,0,4,72,16,1,1,5.0
442,2,1,1,3,5,0,4,32,16,5,7,1.0
443,8,4,4,4,4,1,3,32,16,5,4,2.0
445,1,1,1,2,5,0,4,77,15,3,7,3.0
446,5,2,2,4,5,0,4,40,6,4,7,4.0
449,1,1,1,3,4,0,4,52,16,3,7,1.0
451,1,1,1,1,5,0,4,68,18,5,7,1.0
452,2,1,1,3,5,0,4,34,16,4,2,1.0
454,5,2,1,3,5,0,4,57,11,1,1,1.0
457,1,1,1,1,5,0,4,44,6,1,1,1.0
458,2,1,1,1,1,0,4,56,11,1,3,3.0
459,2,2,1,3,5,0,4,63,18,5,7,5.0
461,1,1,1,4,5,0,4,56,8,2,1,3.0
462,4,4,1,3,5,0,4,58,5,3,2,3.0
463,1,1,1,1,3,0,4,69,15,4,7,1.0
465,3,2,2,1,4,0,4,41,11,5,7,1.0
467,1,1,1,2,5,0,4,65,9,2,7,1.0
469,2,3,3,3,4,0,4,20,11,5,7,3.0
471,2,1,1,5,5,0,4,38,9,2,2,1.0
477,1,1,2,2,5,0,4,61,9,5,7,3.0
478,2,2,1,2,5,0,4,68,9,5,2,1.0
481,1,1,1,1,5,0,4,71,18,4,7,1.0
483,1,1,1,5,5,0,4,35,9,5,7,1.0
484,1,1,1,1,4,0,3,35,9,2,1,3.0
485,1,1,2,3,5,0,4,34,11,4,3,3.0
486,1,1,2,3,5,1,4,73,18,5,7,1.0
487,1,1,1,3,5,0,4,42,11,4,7,2.0
488,6,2,1,3,5,0,4,28,18,3,7,2.0
489,5,1,1,2,5,0,4,60,5,4,7,1.0
494,2,1,1,3,5,0,4,41,16,4,1,1.0
495,1,1,1,1,5,0,4,64,16,5,7,1.0
496,8,3,1,4,5,1,4,20,11,5,1,4.0
497,1,2,1,2,5,0,4,53,11,4,1,4.0
499,3,1,2,3,3,0,4,31,16,5,6,2.0
501,1,1,2,1,5,0,4,68,6,4,7,1.0
502,1,1,5,2,3,0,4,69,1,1,1,1.0
506,1,1,1,5,5,0,4,66,9,1,1,3.0
507,3,1,1,2,5,0,4,86,11,4,7,4.0
510,1,1,2,4,5,0,4,27,9,4,7,2.0
514,7,2,1,1,5,1,4,62,9,1,1,1.0
515,1,1,1,3,5,0,4,35,16,4,5,1.0
519,2,2,4,3,5,0,1,35,17,4,6,3.0
520,1,1,2,4,5,0,4,56,9,5,6,4.0
523,1,1,1,1,5,0,4,62,9,3,7,1.0
524,2,1,2,4,5,0,4,37,14,1,1,1.0
526,2,1,1,3,5,0,4,61,1,5,6,1.0
527,3,2,1,1,5,0,4,56,16,3,7,3.0
528,4,1,1,4,5,0,4,24,17,5,7,2.0
530,5,1,1,1,5,0,4,67,14,5,7,1.0
531,1,1,1,4,5,0,4,45,16,5,7,3.0
533,3,2,3,3,2,0,2,39,4,4,6,2.0
536,1,1,1,4,5,0,4,47,4,3,1,1.0
538,2,1,1,2,5,0,4,27,17,5,6,2.0
540,6,2,1,2,5,0,4,50,16,3,3,2.0
541,3,3,1,3,4,0,4,35,18,4,5,3.0
542,1,1,1,3,5,0,4,66,16,2,7,2.0
544,1,1,2,2,5,0,4,67,16,2,7,1.0
547,1,3,1,1,1,1,4,52,15,2,1,3.0
548,1,1,1,1,5,0,4,49,6,5,2,1.0
550,1,1,1,5,1,0,1,58,15,5,1,1.0
551,1,1,1,1,5,0,4,77,18,5,7,1.0
553,2,1,1,4,5,1,4,64,7,2,7,2.0
554,5,1,1,3,5,0,4,50,9,3,1,4.0
555,1,5,1,4,5,0,3,21,9,1,5,4.0
556,2,1,1,5,5,0,4,75,18,5,7,1.0
557,3,2,1,3,5,1,4,62,5,5,7,1.0
559,5,2,1,3,5,0,4,43,17,5,1,1.0
560,7,5,1,3,5,0,4,30,18,1,1,5.0
562,3,1,1,3,5,0,4,50,17,3,5,3.0
563,3,2,5,2,1,0,1,42,17,2,1,3.0
567,5,2,1,3,5,0,4,44,18,3,1,2.0
568,6,2,1,1,5,1,4,55,11,3,7,3.0
569,3,2,3,2,5,1,4,63,11,4,7,4.0
570,2,1,3,3,5,1,1,69,18,2,6,1.0
571,3,1,1,2,5,1,4,70,1,2,1,2.0
572,1,1,1,3,5,1,4,54,17,5,4,2.0
573,6,2,1,3,5,1,4,39,16,1,1,4.0
574,1,1,1,2,5,0,4,61,17,5,7,1.0
575,6,4,1,3,5,1,4,55,16,4,1,5.0
576,1,1,1,3,5,0,4,59,8,1,3,1.0
579,1,1,4,4,4,1,4,62,18,5,7,1.0
580,6,1,2,4,2,0,2,36,16,5,1,2.0
583,1,1,1,3,5,0,4,52,11,3,1,1.0
585,1,1,1,3,5,0,4,58,18,4,6,1.0
586,2,1,1,3,3,0,4,66,18,2,7,1.0
587,1,1,3,4,5,0,1,68,15,2,7,1.0
588,5,1,1,1,5,0,4,61,16,1,5,1.0
589,1,1,1,4,5,0,4,41,18,5,6,1.0
590,8,1,1,1,5,0,4,43,16,4,1,1.0
591,2,1,1,2,3,0,2,50,16,4,1,2.0
593,1,1,1,5,5,0,4,79,16,4,7,1.0
594,2,1,1,3,5,0,4,67,16,3,7,5.0
595,1,1,1,1,5,0,4,49,16,2,7,1.0
597,2,2,1,4,4,0,4,55,11,1,2,2.0
600,1,1,1,4,3,0,4,33,13,5,2,1.0
601,1,1,5,5,5,0,4,63,17,5,6,1.0
603,1,1,4,4,4,0,3,29,17,5,5,4.0
604,2,1,1,5,5,0,4,63,11,4,7,1.0
606,1,1,1,1,5,0,4,67,17,3,7,1.0
607,4,4,1,1,5,0,4,58,16,5,7,2.0
608,1,3,3,2,3,0,4,35,15,2,4,3.0
609,2,1,3,4,5,0,4,58,15,4,7,1.0
611,5,3,1,1,5,1,4,67,14,5,7,3.0
612,5,2,1,1,5,0,4,71,9,4,7,2.0
615,6,5,3,4,4,0,2,29,6,3,3,5.0
617,2,1,1,2,5,0,4,74,17,4,7,3.0
618,1,1,1,5,5,0,4,67,17,3,7,1.0
620,8,2,5,3,5,0,4,24,9,3,1,3.0
622,1,3,1,3,4,0,4,23,11,1,1,3.0
623,2,2,1,4,5,1,4,49,17,5,6,3.0
624,1,1,1,4,5,0,4,55,5,2,1,2.0
625,1,1,1,4,4,0,4,43,18,1,1,1.0
627,2,2,1,3,5,1,4,46,11,5,5,1.0
630,2,1,1,1,5,0,4,25,3,5,2,2.0
631,7,2,1,5,5,1,1,28,14,5,7,5.0
633,1,1,1,3,5,0,4,73,11,2,7,2.0
635,2,1,1,5,5,0,4,56,15,2,1,3.0
636,2,3,3,3,3,0,3,24,18,1,1,3.0
637,1,2,1,1,5,0,4,75,17,4,6,2.0
638,1,1,5,5,1,1,4,68,17,5,7,1.0
640,1,1,5,4,4,0,4,73,9,4,7,1.0
641,1,1,1,1,5,0,4,66,18,4,7,2.0
642,4,2,1,4,5,0,4,35,17,4,1,3.0
643,6,2,1,2,5,0,4,52,11,2,1,2.0
646,5,1,1,4,5,0,4,46,9,1,7,2.0
647,1,1,1,5,5,0,4,56,17,3,7,1.0
648,1,1,1,4,5,1,4,45,17,5,4,2.0
650,1,1,1,1,5,0,4,63,9,5,7,2.0
651,1,1,1,3,5,0,4,33,1,1,1,1.0
652,1,1,5,5,5,0,4,47,11,5,7,1.0
655,5,2,1,3,5,1,4,60,16,4,7,1.0
657,4,2,1,2,5,0,4,36,17,5,7,5.0
658,1,2,1,1,5,1,4,62,16,1,7,2.0
659,2,2,1,5,5,0,4,59,5,3,3,1.0
661,1,2,1,4,4,0,4,36,17,5,7,1.0
662,4,2,1,3,4,0,4,62,16,3,3,1.0
665,1,1,1,1,5,0,4,62,16,4,7,1.0
666,1,1,1,3,4,0,4,53,11,5,7,1.0
668,1,1,3,1,5,0,4,76,15,3,1,1.0
669,4,4,1,2,5,0,4,74,3,2,3,4.0
670,1,1,1,1,5,0,4,59,18,4,6,1.0
672,2,1,1,1,3,0,4,48,17,5,5,1.0
673,5,4,1,3,3,0,4,38,9,2,6,4.0
674,3,1,1,1,5,0,4,68,18,5,7,3.0
676,5,4,5,3,5,0,4,35,9,1,1,3.0
677,1,1,1,3,3,0,4,47,16,3,7,1.0
678,2,1,1,2,5,0,4,33,18,5,1,1.0
679,8,2,1,3,5,1,4,49,9,1,1,4.0
681,7,3,2,3,5,0,4,45,6,1,1,2.0
682,1,1,1,5,5,0,4,34,16,4,7,4.0
683,1,1,1,1,5,0,4,36,11,3,1,1.0
687,1,1,1,2,5,0,4,53,6,4,1,2.0
692,1,1,1,3,5,0,4,66,9,1,7,1.0
693,7,2,1,4,5,1,4,73,18,5,7,1.0
694,3,4,4,3,4,1,3,25,16,4,4,4.0
695,1,1,1,1,5,0,4,55,8,1,1,1.0
696,1,1,5,5,3,0,4,33,16,3,1,1.0
697,1,1,1,4,3,0,4,33,16,5,4,1.0
699,2,1,2,4,5,0,4,65,16,4,7,2.0
700,1,1,1,1,5,1,4,49,17,1,1,1.0
703,1,1,2,3,5,0,4,21,11,1,1,2.0
707,1,1,1,1,5,1,4,44,18,5,5,1.0
708,1,1,2,2,5,0,4,70,11,4,7,3.0
709,1,1,1,2,1,0,4,30,16,4,3,4.0
710,1,2,4,3,3,0,2,20,11,2,2,3.0
712,4,1,1,1,5,0,4,61,9,4,7,1.0
713,1,1,5,5,5,0,4,31,11,5,7,3.0
716,1,1,1,3,5,0,4,34,11,5,6,1.0
717,2,1,1,2,5,0,4,86,11,5,7,2.0
719,1,1,1,5,5,0,4,34,16,3,7,1.0
721,3,3,3,2,3,0,2,44,18,4,3,3.0
723,6,2,1,1,5,1,4,50,9,3,7,1.0
725,2,2,1,3,5,0,4,38,18,3,1,2.0
726,1,1,1,4,5,0,4,57,18,2,7,1.0
727,1,2,1,4,5,0,4,66,6,4,6,4.0
728,1,1,1,3,5,0,4,56,8,4,7,3.0
731,1,1,1,1,5,0,4,55,15,5,7,1.0
733,1,1,1,4,5,0,4,46,9,1,1,1.0
735,1,1,1,3,5,0,4,48,17,2,1,3.0
739,1,1,2,2,5,1,4,19,9,3,5,3.0
740,7,1,1,4,5,0,4,31,16,3,1,4.0
741,1,5,1,1,5,0,4,37,9,1,1,4.0
742,1,1,1,3,5,0,4,42,16,5,5,2.0
